Name,Party,District,Winner,Presumptive,Trimmed
Elijah E Cummings,D,MD-7,X,,Elijah E Cummings
Richmond Davis,R,MD-7,X,,Richmond Davis
Jamie Raskin,D,MD-8,X,,Jamie Raskin
John Walsh,R,MD-8,X,,John Walsh
Chellie Pingree,D,ME-1,X,,Chellie Pingree
Mark Holbrook,R,ME-1,X,,Mark Holbrook
Jared Golden,D,ME-2,X,,Jared Golden
Bruce Poliquin,R,ME-2,X,,Bruce Poliquin
Matt Morgan,D,MI-1,X,,Matt Morgan
John Bergman,R,MI-1,X,,John Bergman
Kimberly Bizon,D,MI-10,X,,Kimberly Bizon
Paul Mitchell,R,MI-10,X,,Paul Mitchell
Haley Stevens,D,MI-11,X,,Haley Stevens
Lena Epstein,R,MI-11,X,,Lena Epstein
Debbie Dingell,D,MI-12,X,,Debbie Dingell
Jeff Jones,R,MI-12,X,,Jeff Jones
Rashida Tlaib,D,MI-13,X,,Rashida Tlaib
Brenda Lawrence,D,MI-14,X,,Brenda Lawrence
Marc Herschfus,R,MI-14,X,,Marc Herschfus
Rob Davidson,D,MI-2,X,,Rob Davidson
Bill Huizenga,R,MI-2,X,,Bill Huizenga
Catherine Albro,D,MI-3,X,,Catherine Albro
Justin Amash,R,MI-3,X,,Justin Amash
Jerome C Hilliard,D,MI-4,X,,Jerome C Hilliard
John Moolenaar,R,MI-4,X,,John Moolenaar
Dan Kildee,D,MI-5,X,,Dan Kildee
Travis Wines,R,MI-5,X,,Travis Wines
Matt Longjohn,D,MI-6,X,,Matt Longjohn
Fred Upton,R,MI-6,X,,Fred Upton
Gretchen Driskell,D,MI-7,X,,Gretchen Driskell
Tim Walberg,R,MI-7,X,,Tim Walberg
Elissa Slotkin,D,MI-8,X,,Elissa Slotkin
Mike Bishop,R,MI-8,X,,Mike Bishop
Andy Levin,D,MI-9,X,,Andy Levin
Candius Stearns,R,MI-9,X,,Candius Stearns
Daniel Feehan,D,MN-1,X,,Daniel Feehan
Jim Hagedorn,R,MN-1,X,,Jim Hagedorn
Angie Craig,D,MN-2,X,,Angie Craig
Jason Lewis,R,MN-2,X,,Jason Lewis
Dean Phillips,D,MN-3,X,,Dean Phillips
Erik Paulsen,R,MN-3,X,,Erik Paulsen
Betty McCollum,D,MN-4,X,,Betty McCollum
Greg Ryan,R,MN-4,X,,Greg Ryan
Ilhan Omar,D,MN-5,X,,Ilhan Omar
Jennifer L Zielinski,R,MN-5,X,,Jennifer L Zielinski
Ian Todd,D,MN-6,X,,Ian Todd
Tom Emmer,R,MN-6,X,,Tom Emmer
Collin Peterson,D,MN-7,X,,Collin Peterson
Dave Hughes,R,MN-7,X,,Dave Hughes
Joe Radinovich,D,MN-8,X,,Joe Radinovich
Pete Stauber,R,MN-8,X,,Pete Stauber
William L Clay Jr.,D,MO-1,X,,William L Clay Jr.
Robert Vroman,R,MO-1,X,,Robert Vroman
Cort Vanostran,D,MO-2,X,,Cort Vanostran
Ann L Wagner,R,MO-2,X,,Ann L Wagner
Katy Geppert,D,MO-3,X,,Katy Geppert
Blaine Luetkemeyer,R,MO-3,X,,Blaine Luetkemeyer
Renee Hoagenson,D,MO-4,X,,Renee Hoagenson
Vicky Hartzler,R,MO-4,X,,Vicky Hartzler
Emanuel Cleaver,D,MO-5,X,,Emanuel Cleaver
Jacob Turk,R,MO-5,X,,Jacob Turk
Henry Martin,D,MO-6,X,,Henry Martin
Sam Graves,R,MO-6,X,,Sam Graves
Jamie Schoolcraft,D,MO-7,X,,Jamie Schoolcraft
Billy Long,R,MO-7,X,,Billy Long
Kathryn Ellis,D,MO-8,X,,Kathryn Ellis
Jason Smith,R,MO-8,X,,Jason Smith
Randy Wadkins,D,MS-1,X,,Randy Wadkins
Trent Kelly,R,MS-1,X,,Trent Kelly
Bennie G Thompson,D,MS-2,X,,Bennie G Thompson
Michael Ted Evans,D,MS-3,X,,Michael Ted Evans
Michael Guest,R,MS-3,X,,Michael Guest
Jeramey Anderson,D,MS-4,X,,Jeramey Anderson
Steven Palazzo,R,MS-4,X,,Steven Palazzo
Kathleen Williams,D,MT-1,X,,Kathleen Williams
Greg Gianforte,R,MT-1,X,,Greg Gianforte
